area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
1005,5,1023,73,0,2020,4,,71,220,217,216,2685212,138755,1955,949,,1.38,0.48,0.48,0.47,0.32,0.39,0.35,0.66,,1,1.4,-9,-3.9,-14,-6.1,-14,-6.1,-40689,-1.5,6011,4.5,-55,-2.7,37,4.1
1007,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,14.89,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,5,1023,73,0,2020,4,,32,91,93,92,983687,43993,485,822,,0.95,0.33,0.34,0.33,0.18,0.24,0.19,0.52,,0,0,-5,-5.2,-4,-4.1,-3,-3.2,32217,3.4,-8972,-16.9,-103,-17.5,60,7.9
1009,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,13.55,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,5,1023,73,0,2020,4,,65,241,244,243,3282342,106110,1057,1040,,0.88,0.49,0.49,0.49,0.39,0.36,0.33,0.8,,1,1.6,-26,-9.7,-16,-6.2,-24,-9,49531,1.5,-9603,-8.3,-451,-29.9,100,10.6
1011,5,1023,73,0,2020,4,,13,41,45,47,472575,32522,337,820,,0.79,0.24,0.26,0.27,0.14,0.27,0.16,0.53,,1,8.3,-14,-25.5,-11,-19.6,-6,-11.3,-6977,-1.5,14355,79,110,48.5,145,21.5
1013,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,22.55,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,5,1023,73,0,2020,4,,58,167,168,165,1715951,63152,929,792,,1.31,0.44,0.45,0.44,0.26,0.21,0.22,0.59,,-3,-4.9,-13,-7.2,-13,-7.2,-16,-8.8,36201,2.2,-20904,-24.9,-188,-16.8,77,10.8
1015,1,1023,73,0,2020,4,,1,4,4,4,77734,0,0,1495,,5.37,1.05,1.04,1.04,0.92,0,0,0.88,,0,0,-3,-42.9,-3,-42.9,-3,-42.9,-56022,-41.9,0,0,0,0,25,1.7
1015,3,1023,73,0,2020,4,,4,58,59,60,674243,0,0,879,,8.63,4.3,4.28,4.4,4.65,0,0,1.07,,0,0,-3,-4.9,-3,-4.8,-6,-9.1,-46366,-6.4,0,0,0,0,-1,-0.1
1015,5,1023,73,0,2020,4,,276,1259,1261,1274,19520901,804687,7988,1187,,1.19,0.5,0.49,0.5,0.41,0.46,0.44,0.82,,1,0.4,-29,-2.3,-10,-0.8,4,0.3,2633464,15.6,-171873,-17.6,-2642,-24.9,169,16.6
1017,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,8.72,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,5,1023,73,0,2020,4,,44,174,173,174,2027716,82728,880,898,,0.77,0.35,0.36,0.35,0.22,0.21,0.22,0.62,,1,2.3,-5,-2.8,-2,-1.1,-4,-2.2,87310,4.5,1865,2.3,-255,-22.5,56,6.7
1019,5,1023,73,0,2020,4,,47,133,130,134,1566610,63849,775,911,,1.23,0.45,0.44,0.45,0.33,0.29,0.32,0.73,,-4,-7.8,-15,-10.1,-19,-12.8,-16,-10.7,-156903,-9.1,-124033,-66,-2251,-74.4,21,2.4
1021,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,6.64,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,5,1023,73,0,2020,4,,86,261,256,261,3277379,138705,2149,972,,1.14,0.49,0.49,0.49,0.34,0.42,0.62,0.69,,4,4.9,-9,-3.3,-13,-4.8,-4,-1.5,244471,8.1,-11890,-7.9,-975,-31.2,101,11.6
1023,5,1023,73,0,2020,4,,22,98,98,94,1110007,48242,575,883,,0.73,0.47,0.46,0.43,0.22,0.27,0.29,0.48,,-1,-4.3,8,8.9,8,8.9,5,5.6,153802,16.1,19276,66.5,190,49.4,63,7.7
1025,5,1023,73,0,2020,4,,83,352,356,351,4572249,166262,2864,996,,1.35,0.76,0.76,0.75,0.52,0.57,0.85,0.68,,1,1.2,33,10.3,50,16.3,42,13.6,1081333,31,7611,4.8,328,12.9,133,15.4
1027,3,1023,73,0,2020,4,N,3,0,0,0,0,0,0,0,N,74.25,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,5,1023,73,0,2020,4,,16,103,103,103,1912837,32773,334,1429,,0.79,0.41,0.41,0.41,0.46,0.18,0.16,1.13,,-1,-5.9,7,7.3,1,1,2,2,175206,10.1,-14907,-31.3,-64,-16.1,88,6.6
1029,1,1023,73,0,2020,4,,1,1,1,1,26074,0,0,2006,,57.29,5.33,5.38,5.28,5.5,0,0,1.03,,0,0,0,0,0,0,0,0,516,2,0,0,0,0,40,2
1029,5,1023,73,0,2020,4,,17,72,71,73,779801,32839,627,833,,0.78,0.57,0.57,0.58,0.29,0.43,0.59,0.5,,0,0,14,24.1,11,18.3,11,17.7,83870,12.1,2212,7.2,327,109,-59,-6.6
1031,3,1023,73,0,2020,4,,3,15,15,15,168872,0,0,866,,15.51,2.99,2.94,2.99,3.55,0,0,1.19,,0,0,0,0,0,0,0,0,13599,8.8,0,0,0,0,70,8.8
1031,5,1023,73,0,2020,4,,133,528,532,534,8269994,317049,3155,1197,,1.37,0.56,0.56,0.57,0.52,0.42,0.38,0.93,,0,0,-21,-3.8,-10,-1.8,-9,-1.7,689167,9.1,13211,4.3,-597,-15.9,126,11.8
1033,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,8.04,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,5,1023,73,0,2020,4,,135,867,872,867,12224651,465064,4535,1083,,1.08,0.63,0.63,0.62,0.41,0.49,0.29,0.66,,5,3.8,4,0.5,7,0.8,2,0.2,965317,8.6,-16287,-3.4,-1610,-26.2,81,8.1
1035,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,21.93,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,5,1023,73,0,2020,4,,13,43,41,40,486737,21110,841,906,,0.57,0.22,0.21,0.21,0.14,0.16,0.5,0.66,,0,0,-5,-10.4,-5,-10.9,-5,-11.1,-54504,-10.1,5997,39.7,637,312.3,7,0.8
1037,5,1023,73,0,2020,4,,12,17,17,16,146702,3109,26,677,,0.94,0.23,0.23,0.21,0.11,0.08,0.06,0.48,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,3,1023,73,0,2020,4,,3,14,14,14,167967,0,0,923,,17.98,3.88,3.81,3.84,4.59,0,0,1.19,,0,0,0,0,0,0,0,0,13736,8.9,0,0,0,0,76,9
1039,5,1023,73,0,2020,4,,98,407,410,408,5574978,193664,2646,1050,,1.17,0.6,0.6,0.6,0.46,0.44,0.35,0.76,,0,0,-20,-4.7,-21,-4.9,-30,-6.8,403274,7.8,-46144,-19.2,-144,-5.2,129,14
1041,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,39.36,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,5,1023,73,0,2020,4,,25,110,110,114,1509929,33968,305,1043,,0.98,0.53,0.53,0.56,0.41,0.23,0.11,0.75,,2,8.7,2,1.9,2,1.9,6,5.6,-54145,-3.5,10819,46.7,161,111.8,-71,-6.4
1043,1,1023,73,0,2020,4,,1,6,6,6,114424,0,0,1467,,7.24,2.37,2.35,2.35,2.02,0,0,0.86,,0,0,0,0,0,0,0,0,-5093,-4.3,0,0,0,0,-65,-4.2
1043,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,5.81,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,5,1023,73,0,2020,4,,176,879,883,878,15279040,545918,6144,1336,,1.02,0.52,0.52,0.52,0.47,0.42,0.45,0.91,,4,2.3,0,0,10,1.1,-13,-1.5,793945,5.5,-69511,-11.3,-2912,-32.2,71,5.6
1045,1,1023,73,0,2020,4,,1,5,5,5,97386,0,0,1498,,15.39,3.35,3.33,3.31,2.22,0,0,0.67,,0,0,-1,-16.7,-1,-16.7,-1,-16.7,-6039,-5.8,0,0,0,0,172,13
1045,3,1023,73,0,2020,4,N,3,0,0,0,0,0,0,0,N,18.54,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,5,1023,73,0,2020,4,,80,403,400,406,5096136,174378,2721,973,,0.99,0.4,0.4,0.41,0.2,0.46,0.6,0.51,,-1,-1.2,-4,-1,-5,-1.2,-2,-0.5,146181,3,-84076,-32.5,-1284,-32.1,37,4
1047,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,6.42,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,5,1023,73,0,2020,4,,75,337,335,334,4424068,152209,2002,1015,,0.96,0.51,0.51,0.51,0.35,0.37,0.35,0.69,,-2,-2.6,-48,-12.5,-44,-11.6,-47,-12.3,108847,2.5,-50731,-25,-1233,-38.1,145,16.7
1049,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,4.42,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,5,1023,73,0,2020,4,,109,541,551,557,6772297,281944,3618,948,,0.96,0.43,0.43,0.43,0.29,0.28,0.35,0.68,,8,7.9,-14,-2.5,-14,-2.5,-5,-0.9,236915,3.6,-126268,-30.9,-3605,-49.9,51,5.7
1051,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,3.75,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,5,1023,73,0,2020,4,,160,580,570,580,8751763,307471,3983,1167,,1.2,0.51,0.5,0.5,0.46,0.4,0.44,0.91,,1,0.6,-29,-4.8,-32,-5.3,-46,-7.3,1327913,17.9,-77333,-20.1,267,7.2,234,25.1
1053,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,13.07,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,5,1023,73,0,2020,4,,92,464,463,478,6193022,160674,2134,1017,,1.2,0.65,0.65,0.68,0.45,0.39,0.41,0.68,,1,1.1,-18,-3.7,-18,-3.7,-11,-2.2,252874,4.3,-82578,-33.9,-535,-20,73,7.7
1055,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,5.26,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,5,1023,73,0,2020,4,,216,1083,1098,1094,15374552,634469,8398,1083,,1.14,0.58,0.58,0.58,0.46,0.39,0.49,0.8,,-38,-15,-206,-16,-205,-15.7,-182,-14.3,-1064304,-6.5,-268204,-29.7,-2749,-24.7,102,10.4
1057,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,16,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,5,1023,73,0,2020,4,,23,108,109,106,1375459,68736,1552,983,,0.74,0.48,0.48,0.46,0.38,0.48,0.73,0.8,,1,4.5,-6,-5.3,-3,-2.7,-7,-6.2,-44478,-3.1,26044,61,1207,349.9,16,1.7
1059,3,1023,73,0,2020,4,N,3,0,0,0,0,0,0,0,N,28.03,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,5,1023,73,0,2020,4,,70,397,408,406,4443624,168009,1381,847,,1.31,0.63,0.65,0.64,0.4,0.42,0.31,0.63,,-4,-5.4,-27,-6.4,-9,-2.2,-13,-3.1,197593,4.7,-41444,-19.8,-550,-28.5,69,8.9
1061,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,21.05,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1061,5,1023,73,0,2020,4,,47,230,230,233,2725765,105054,1717,908,,0.99,0.75,0.77,0.77,0.58,0.53,0.75,0.76,,3,6.8,18,8.5,17,8,-8,-3.3,215342,8.6,-11488,-9.9,550,47.1,38,4.4
1063,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,67.1,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,5,1023,73,0,2020,4,,5,33,33,33,460044,668,10,1072,,0.33,0.33,0.33,0.33,0.28,0.01,0.01,0.85,N,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,19.27,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,5,1023,73,0,2020,4,,16,76,78,79,1764283,53859,995,1747,,0.62,0.52,0.54,0.54,0.66,0.68,1.05,1.23,,1,6.7,-3,-3.8,2,2.6,2,2.6,144531,8.9,25926,92.8,729,274.1,136,8.4
1067,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,15.6,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1067,5,1023,73,0,2020,4,,26,115,117,113,1443994,75395,966,966,,0.81,0.55,0.56,0.53,0.31,0.56,0.64,0.57,,0,0,7,6.5,11,10.4,6,5.6,-46865,-3.1,24599,48.4,547,130.5,-106,-9.9
1069,3,1023,73,0,2020,4,N,3,0,0,0,0,0,0,0,N,5.35,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,5,1023,73,0,2020,4,,313,1619,1615,1611,26822571,1030161,13902,1278,,1.12,0.58,0.57,0.57,0.45,0.47,0.54,0.79,,-1,-0.3,-18,-1.1,-21,-1.3,-15,-0.9,978861,3.8,131880,14.7,1744,14.3,61,5
1071,3,1023,73,0,2020,4,,3,22,22,20,220435,0,0,795,,16.22,4.8,4.71,4.31,4.75,0,0,1.03,,0,0,1,4.8,2,10,0,0,3987,1.8,0,0,0,0,-24,-2.9
1071,5,1023,73,0,2020,4,,101,427,428,430,5832294,170948,2076,1047,,1.09,0.49,0.49,0.49,0.38,0.3,0.21,0.77,,-2,-1.9,-34,-7.4,-34,-7.4,-37,-7.9,-133687,-2.2,-122869,-41.8,-2745,-56.9,57,5.8
1073,1,1023,73,0,2020,4,,1,4,4,4,98454,0,0,1893,,0.7,0.13,0.13,0.13,0.11,0,0,0.79,,0,0,1,33.3,1,33.3,1,33.3,18170,22.6,0,0,0,0,-166,-8.1
1073,3,1023,73,0,2020,4,,6,310,311,311,4921503,8000,91,1219,,1.68,2.94,2.89,2.9,3.09,0.12,0.23,1.06,,0,0,-1,-0.3,-3,-1,-5,-1.6,855598,21,-14066,-63.7,-260,-74.1,222,22.3
1073,5,1023,73,0,2020,4,,2414,26732,26618,26571,673781960,12923104,158194,1946,,1.35,1.35,1.33,1.32,1.27,0.96,1.03,0.95,,125,5.5,-416,-1.5,-185,-0.7,-274,-1,78672232,13.2,-2741402,-17.5,-34671,-18,246,14.5
1075,3,1023,73,0,2020,4,,4,15,15,15,164668,2671,16,844,,77.35,14.36,14.34,14.52,15.68,5.65,6.11,1.09,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,5,1023,73,0,2020,4,,16,106,107,110,1400741,34141,208,1001,,0.62,0.54,0.55,0.57,0.4,0.37,0.2,0.73,,0,0,-4,-3.6,-2,-1.8,-1,-0.9,-89335,-6,12795,59.9,82,65.1,-41,-3.9
1077,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,2.58,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,5,1023,73,0,2020,4,,285,1351,1363,1388,20173108,865830,11003,1135,,1.47,0.8,0.8,0.81,0.7,0.71,0.8,0.86,,4,1.4,-61,-4.3,-33,-2.4,-16,-1.1,1404627,7.5,51186,6.3,-556,-4.8,107,10.4
1079,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,11.53,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,5,1023,73,0,2020,4,,32,264,268,268,4196750,127615,1125,1211,,0.74,0.91,0.92,0.92,0.83,0.73,0.53,0.91,,0,0,56,26.9,54,25.2,44,19.6,805442,23.8,-47522,-27.1,-546,-32.7,0,0
1081,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,3.2,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,5,1023,73,0,2020,4,,399,1833,1822,1771,28528038,1174086,15576,1213,,1.27,0.53,0.53,0.51,0.43,0.42,0.46,0.81,,5,1.3,41,2.3,5,0.3,-16,-0.9,2859990,11.1,-417588,-26.2,-8743,-36,115,10.5
1083,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,3.59,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,5,1023,73,0,2020,4,,165,580,576,582,8150004,389265,5594,1082,,1.18,0.39,0.39,0.39,0.23,0.29,0.2,0.59,,2,1.2,-33,-5.4,-18,-3,-15,-2.5,238784,3,-36901,-8.7,-684,-10.9,70,6.9
1085,5,1023,73,0,2020,4,,15,55,55,56,750752,21123,412,1044,,0.92,0.41,0.41,0.41,0.26,0.26,0.18,0.64,,0,0,-40,-42.1,-40,-42.1,-47,-45.6,-774408,-50.8,-17823,-45.8,-168,-29,-157,-13.1
1087,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,21.26,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,5,1023,73,0,2020,4,,14,90,88,85,867249,31771,617,761,,0.59,0.34,0.33,0.32,0.16,0.29,0.47,0.49,,0,0,4,4.7,3,3.5,0,0,-5957,-0.7,-793,-2.4,132,27.2,-26,-3.3
1089,1,1023,73,0,2020,4,,2,14,14,14,275495,0,0,1514,,2.64,0.78,0.77,0.76,0.44,0,0,0.57,,0,0,1,7.7,1,7.7,1,7.7,52685,23.6,0,0,0,0,196,14.9
1089,3,1023,73,0,2020,4,,10,117,114,115,1549299,182862,1717,1033,,5.3,1.84,1.75,1.77,1.43,4.48,6.97,0.8,,-1,-9.1,39,50,34,42.5,38,49.4,330034,27.1,161696,763.9,1438,515.4,-164,-13.7
1089,5,1023,73,0,2020,4,,1068,6221,6248,6323,119070501,4346572,53533,1462,,1.13,0.52,0.52,0.52,0.33,0.54,0.55,0.64,,44,4.3,112,1.8,119,1.9,159,2.6,16346321,15.9,130171,3.1,-1691,-3.1,174,13.5
1091,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,21.5,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091,5,1023,73,0,2020,4,,45,257,263,244,3880666,121616,2005,1172,,0.97,0.64,0.66,0.6,0.49,0.53,0.69,0.77,,0,0,-1,-0.4,8,3.1,-11,-4.3,355203,10.1,-33738,-21.7,-3112,-60.8,113,10.7
1093,3,1023,73,0,2020,4,,5,36,35,35,413000,12973,77,899,,44.27,11.29,10.72,10.76,13.47,5.56,4.33,1.23,,0,0,0,0,-1,-2.8,-1,-2.8,7010,1.7,-7649,-37.1,-44,-36.4,31,3.6
1093,5,1023,73,0,2020,4,,54,401,403,405,5712831,220547,4569,1090,,0.95,0.67,0.66,0.66,0.56,0.48,0.65,0.84,,0,0,3,0.8,7,1.8,4,1,555284,10.8,16516,8.1,3035,197.8,94,9.4
1095,3,1023,73,0,2020,4,,5,75,74,75,1095476,12744,311,1129,,12.94,6.39,6.22,6.37,9.41,1.54,7.5,1.49,,0,0,2,2.7,0,0,2,2.7,147721,15.6,12744,100,311,100,135,13.6
1095,5,1023,73,0,2020,4,,240,1209,1199,1201,15238198,770248,11447,974,,1.24,0.55,0.54,0.54,0.39,0.47,0.7,0.72,,-2,-0.8,-32,-2.6,-34,-2.8,-51,-4.1,577410,3.9,16342,2.2,1412,14.1,66,7.3
1097,1,1023,73,0,2020,4,,1,1,1,1,23761,0,0,1828,,1.31,0.07,0.07,0.07,0.06,0,0,0.86,,0,0,0,0,0,0,0,0,1771,8.1,0,0,0,0,136,8
1097,3,1023,73,0,2020,4,,4,148,145,140,1756659,36882,679,936,,2.1,2.87,2.78,2.71,2.56,1,2.44,0.92,,0,0,-7,-4.5,-9,-5.8,-18,-11.4,210559,13.6,-30807,-45.5,-397,-36.9,172,22.5
1097,5,1023,73,0,2020,4,,1233,8467,8015,7299,207119753,11917812,336023,2010,,1.3,0.87,0.83,0.75,0.91,1.64,3.07,1.11,,8,0.7,358,4.4,-18,-0.2,-616,-7.8,18586563,9.9,3612498,43.5,215745,179.4,201,11.1
1099,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,11.87,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,5,1023,73,0,2020,4,,48,177,179,175,2324254,62897,765,1010,,1.14,0.49,0.5,0.48,0.32,0.26,0.26,0.65,,-1,-2,-16,-8.3,-13,-6.8,-18,-9.3,-123885,-5.1,-10931,-14.8,-233,-23.3,33,3.4
1101,1,1023,73,0,2020,4,,3,47,49,50,1192602,0,0,1885,,6.36,4.28,4.41,4.47,3.95,0,0,0.9,,0,0,2,4.4,3,6.5,7,16.3,65960,5.9,0,0,0,0,-55,-2.8
1101,2,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,28.13,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,0.85,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,5,1023,73,0,2020,4,,721,5720,5791,5726,121476815,3502909,43644,1626,,1.23,0.78,0.78,0.77,0.71,0.72,0.74,0.91,,-4,-0.6,-200,-3.4,-162,-2.7,-251,-4.2,7726467,6.8,160044,4.8,574,1.3,155,10.5
1103,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,3.89,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,5,1023,73,0,2020,4,,295,1747,1747,1745,25876874,811901,10290,1140,,1.14,0.6,0.6,0.6,0.4,0.37,0.4,0.66,,0,0,-44,-2.5,-52,-2.9,-69,-3.8,1521387,6.2,-33490,-4,-732,-6.6,100,9.6
1105,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,69.18,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,5,1023,73,0,2020,4,,10,41,41,40,369903,13603,97,700,,0.69,0.37,0.36,0.36,0.22,0.22,0.09,0.62,,0,0,-16,-28.1,-14,-25.5,-15,-27.3,-290178,-44,-18071,-57.1,-181,-65.1,-212,-23.2
1107,3,1023,73,0,2020,4,N,3,0,0,0,0,0,0,0,N,48.57,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,5,1023,73,0,2020,4,,18,85,84,85,898366,42673,433,816,,0.58,0.42,0.42,0.41,0.24,0.41,0.41,0.57,,0,0,-10,-10.5,-5,-5.6,0,0,2149,0.2,18800,78.8,86,24.8,47,6.1
1109,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,15.07,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
